"","ATL","BOS","BRK","CHI","CHO","CLE","DAL","DEN","DET","GSW","HOU","IND","LAC","LAL","MEM","MIA","MIL","MIN","NOP","NYK","OKC","ORL","PHI","PHO","POR","SAC","SAS","TOR","UTA","WAS"
"ATL",NA,"0.667","0.500","0.750","0.250","0.750","1.000","1.000","0.333","0.000","1.000","0.333","0.000","0.000","0.500","0.500","0.750","0.000","0.500","0.750","0.500","0.500","1.000","0.500","0.500","0.500","0.500","0.667","0.000","0.250"
"BOS","0.333",NA,"1.000","0.500","1.000","0.250","1.000","0.000","0.750","0.500","0.500","1.000","0.500","1.000","1.000","1.000","0.667","1.000","0.500","0.750","0.000","1.000","0.750","0.500","0.500","0.500","0.000","0.250","1.000","0.500"
"BRK","0.500","0.000",NA,"0.250","0.250","0.000","0.000","0.500","0.667","0.000","0.000","0.250","0.500","0.500","0.500","0.000","0.000","0.500","0.500","0.500","0.000","0.333","0.250","1.000","0.000","0.500","0.000","0.000","0.000","0.000"
"CHI","0.250","0.500","0.750",NA,"0.667","1.000","0.000","0.000","0.500","0.500","0.000","0.500","0.000","0.500","0.500","0.667","0.250","0.000","1.000","0.000","0.500","0.750","0.750","0.500","0.500","1.000","0.500","0.667","1.000","0.250"
"CHO","0.750","0.000","0.750","0.333",NA,"0.000","1.000","1.000","0.250","0.000","0.000","0.500","0.000","1.000","0.500","0.500","0.333","0.500","0.000","0.333","1.000","1.000","0.333","0.500","0.500","0.500","0.000","0.500","0.500","0.250"
"CLE","0.250","0.750","1.000","0.000","1.000",NA,"0.500","0.500","0.500","0.500","0.500","0.750","0.000","1.000","0.500","0.250","0.750","1.000","0.500","1.000","0.500","1.000","1.000","1.000","0.500","0.500","0.000","0.750","0.500","0.667"
"DAL","0.000","0.000","1.000","1.000","0.000","0.500",NA,"0.250","0.000","0.000","0.000","0.500","0.500","1.000","0.500","0.500","1.000","0.333","0.500","0.500","0.333","0.500","0.500","0.250","0.500","0.333","0.250","0.000","0.250","1.000"
"DEN","0.000","1.000","0.500","1.000","0.000","0.500","0.750",NA,"0.000","0.333","0.000","1.000","0.750","0.667","0.000","0.500","1.000","0.500","0.750","1.000","0.250","1.000","0.500","1.000","0.250","0.500","0.000","0.000","0.500","0.000"
"DET","0.667","0.250","0.333","0.500","0.750","0.500","1.000","1.000",NA,"0.000","0.500","0.000","0.500","1.000","0.500","0.500","0.250","1.000","0.500","0.500","0.500","0.250","0.667","0.500","1.000","0.000","0.000","0.250","0.000","0.333"
"GSW","1.000","0.500","1.000","0.500","1.000","0.500","1.000","0.667","1.000",NA,"0.750","1.000","1.000","0.750","0.500","0.500","1.000","0.750","1.000","1.000","1.000","1.000","1.000","1.000","1.000","0.750","0.333","1.000","0.667","0.500"
